"Job_ID","Company","Role","Location","Experience","Priority","Strategy","Posted_Date","Openings_Count","Applicant_Count","Competition_Status","Resume_Match_Score","Company_Strength","Apply_URL"
"PRI_083","React and Rest","FULL TIME: Software Engineer Position - React and Rest","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://weworkremotely.com/remote-jobs/yooli-full-time-software-engineer-position-react-and-rest-1"
"PRI_084","Aspire","React Developer @Aspire","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remotive.com/remote/jobs/software-development/react-developer-5285663"
"PRI_085","By Stadium","JavaScript Developer (React.js)","Remote","2+ years Vanilla JS and 2+ years React (band 2-7)","HIGH","TIER 3 (Focused Target - Direct DM)","Posted 3+ weeks ago (Naukri 2026-08-09)","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-javascript-developer-react-js-by-stadium-remote-2-to-7-years-200326503218"
"PRI_086","Texas State Library and ...",".Net react Developer @Texas State Library and ...","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remotive.com/remote/jobs/software-development/net-react-developer-5431185"
"PRI_087","Vrinda International","Frontend Developer @Vrinda International","Remote India","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-4889809"
"PRI_088","Lucky Rabbit","Frontend Developer @Lucky Rabbit","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5237450"
"PRI_089","Third and Grove","Frontend Developer @Third and Grove","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5081619"
"PRI_090","Codekeeper","Frontend Developer @Codekeeper","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5387544"
"PRI_091","Aretum","Frontend Developer @Aretum","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5394449"
"PRI_092","Weekday AI","Frontend Developer @Weekday AI","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-5247819"
"PRI_093","- Vinnovate Technologies","MERN Stack Developer - - Vinnovate Technologies - 0 to 1 ...","Remote","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-mern-stack-developer-vinnovate-technologies-remote-0-to-1-years-190525506139"
"PRI_094","Comfygen","React Native Developer","Remote","1 - 3 years (listing)","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-developer-comfygen-remote-1-to-3-years-080623500036"
"PRI_095","Byte Web IT Solutions","React Native Professional","Vadodara / remote listing","1 - 3 years (listing)","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-native-professional-byte-web-it-solutions-vadodara-1-to-3-years-200825504396"
"PRI_096","Deutsche Telekom IT Solutions Slovakia","Front-End React Developer","Remote - Slovakia","Solid hands-on React+TS (years not numbered; professional mid implied)","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remotive.com/remote/jobs/software-development/front-end-react-developer-5222069"
"PRI_097","Guidewire Software","Junior Frontend Developer Consultant","Remote - Germany","1 - 2 years software development with web tech","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://wd5.myworkdaysite.com/recruiting/guidewire/external/job/Germany---Remote/Digital-Architect--German-speaking-_JR_14266"
"PRI_098","Netomi","SDE I Frontend","Remote (Naukri listing expired)","1 - 3 years (from URL/title; page expired before full JD body)","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://www.naukri.com/job-listings-sde-i-frontend-netomi-remote-1-to-3-years-230626506865"
"PRI_099","Unknown","AI-Assisted Software Engineer, Web Applications","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://weworkremotely.com/remote-jobs/lmg-staffing-solutions-ai-assisted-software-engineer-web-applications"
"PRI_100","Unknown","Remote React Native Developer (💰~$55k) at Private.Ki","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://remoteok.com/remote-jobs/remote-react-native-developer-private-ki-1075396"
"PRI_101","Photon","Frontend Developer (React) @Photon","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-react-5198322"
"PRI_102","Khibraty","Frontend Developer @Khibraty","Remote Worldwide","Not Mentioned","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","88%","Strong","https://remotive.com/remote/jobs/software-development/frontend-developer-4641146"
"PRI_103","Bamboo Works","React Developer","Remote (Naukri expired)","1 - 5 years (from URL; page expired)","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","91%","Strong","https://www.naukri.com/job-listings-react-developer-bamboo-works-remote-1-to-5-years-130726502447"
"PRI_104","Kodify","Front End Developer React","Remote EU only (historical)","Could not fully parse; listing CLOSED","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","94%","Strong","https://remoteok.com/remote-jobs/66109-remote-frontend-developer-react-kodify"
"PRI_105","- Webarclight","MERN Stack Developer Intern - - Webarclight - 0 to 1 years ...","Remote","0 - 1 years","HIGH","TIER 3 (Focused Target - Direct DM)","Not verified","1 Position","< 50 Applicants","Low Competition (Golden Target)","85%","Strong","https://www.naukri.com/job-listings-mern-stack-developer-intern-webarclight-remote-0-to-1-years-071125501518"
